``ra``	float	Right ascension of best-fit position in deg.
``dec``	float	Declination of best-fit position in deg.
``glon``	float	Galactic Longitude of best-fit position in deg.
``glat``	float	Galactic Latitude of best-fit position in deg.
``offset``	float	Angular offset in deg between the old and new (localized) source positions.
``sigma``	float	1-sigma positional uncertainty in deg.
``r68``	float	68% positional uncertainty in deg.
``r95``	float	95% positional uncertainty in deg.
``r99``	float	99% positional uncertainty in deg.
``sigmax``	float	1-sigma uncertainty in deg in longitude.
``sigmay``	float	1-sigma uncertainty in deg in latitude.
``sigma_semimajor``	float	1-sigma uncertainty in deg along major axis of uncertainty ellipse.
``sigma_semiminor``	float	1-sigma uncertainty in deg along minor axis of uncertainty ellipse.
``xpix``	float	Longitude pixel coordinate of best-fit position.
``ypix``	float	Latitude pixel coordinate of best-fit position.
``theta``	float	Position angle of uncertainty ellipse.
``eccentricity``	float	Eccentricity of uncertainty ellipse defined as sqrt(1-b**2/a**2).
``eccentricity2``	float	Eccentricity of uncertainty ellipse defined as sqrt(a**2/b**2-1).
``config``	dict	Copy of the input parameters to this method.
