``convtype``	None	Conversion type selection.
``dec``	None	
``emax``	None	Maximum Energy (MeV)
``emin``	None	Minimum Energy (MeV)
``evclass``	None	Event class selection.
``evtype``	None	Event type selection.
``filter``	None	Filter string for ``gtmktime`` selection.
``glat``	None	
``glon``	None	
``logemax``	None	Maximum Energy (log10(MeV))
``logemin``	None	Minimum Energy (log10(MeV))
``phasemax``	None	Maximum pulsar phase
``phasemin``	None	Minimum pulsar phase
``ra``	None	
``radius``	None	Radius of data selection.  If none this will be automatically set from the ROI size.
``roicut``	no	
``target``	None	Choose an object on which to center the ROI.  This option takes precendence over ra/dec or glon/glat.
``tmax``	None	Maximum time (MET).
``tmin``	None	Minimum time (MET).
``zmax``	None	Maximum zenith angle.
